 No.  Type   Parameter     Error        Type 
 108    4    1.00000E+00   0.00000E+00  Coupling ratio 
 109    4    1.00000E+00   0.00000E+00  Coupling ratio 
 110    4    1.00000E+00   0.00000E+00  Coupling ratio 
 111    4    1.00000E+00   0.00000E+00  Coupling ratio 
 112    4    1.00000E+00   0.00000E+00  Coupling ratio 
 113    4    1.00000E+00   0.00000E+00  Coupling ratio 
 114    4    1.00000E+00   0.00000E+00  Coupling ratio 
 115    4    1.00000E+00   0.00000E+00  Coupling ratio 
 116    4    1.00000E+00   0.00000E+00  Coupling ratio 
 117    4    1.00000E+00   0.00000E+00  Coupling ratio 
 118    4    1.00000E+00   0.00000E+00  Coupling ratio 
 119    4    1.00000E+00   0.00000E+00  Coupling ratio 
 120    4    1.00000E+00   0.00000E+00  Coupling ratio 
 121    4    1.00000E+00   0.00000E+00  Coupling ratio 
 122    4    1.00000E+00   0.00000E+00  Coupling ratio 
 123    4    1.00000E+00   0.00000E+00  Coupling ratio 
 124    4    1.00000E+00   0.00000E+00  Coupling ratio 
 125    4    1.00000E+00   0.00000E+00  Coupling ratio 
 126    4    1.00000E+00   0.00000E+00  Coupling ratio 
 127    4    1.00000E+00   0.00000E+00  Coupling ratio 
 128    4    1.00000E+00   0.00000E+00  Coupling ratio 
 129    4    1.00000E+00   0.00000E+00  Coupling ratio 
 130    4    1.00000E+00   0.00000E+00  Coupling ratio 
 131    4    1.00000E+00   0.00000E+00  Coupling ratio 
 132    4    1.00000E+00   0.00000E+00  Coupling ratio 
 133    4    1.00000E+00   0.00000E+00  Coupling ratio 
 134    4    1.00000E+00   0.00000E+00  Coupling ratio 
 135    4    1.00000E+00   0.00000E+00  Coupling ratio 
 136    4    1.00000E+00   0.00000E+00  Coupling ratio 
 137    4    1.00000E+00   0.00000E+00  Coupling ratio 
 138    4    1.00000E+00   0.00000E+00  Coupling ratio 
 139    4    1.00000E+00   0.00000E+00  Coupling ratio 
 140    4    1.00000E+00   0.00000E+00  Coupling ratio 
 141    4    1.00000E+00   0.00000E+00  Coupling ratio 
 142    4    1.00000E+00   0.00000E+00  Coupling ratio 
 143    4    1.00000E+00   0.00000E+00  Coupling ratio 
 144    4    1.00000E+00   0.00000E+00  Coupling ratio 
 145    4    1.00000E+00   0.00000E+00  Coupling ratio 
 146    4    1.00000E+00   0.00000E+00  Coupling ratio 
 147    4    1.00000E+00   0.00000E+00  Coupling ratio 
 148    4    1.00000E+00   0.00000E+00  Coupling ratio 
 149    4    1.00000E+00   0.00000E+00  Coupling ratio 
 150    4    1.00000E+00   0.00000E+00  Coupling ratio 
 151    4    1.00000E+00   0.00000E+00  Coupling ratio 
 152    4    1.00000E+00   0.00000E+00  Coupling ratio 
 153    4    1.00000E+00   0.00000E+00  Coupling ratio 
 154    4    1.00000E+00   0.00000E+00  Coupling ratio 
 155    4    1.00000E+00   0.00000E+00  Coupling ratio 
 156    4    1.00000E+00   0.00000E+00  Coupling ratio 
 157    4    1.00000E+00   0.00000E+00  Coupling ratio 
 158    4    1.00000E+00   0.00000E+00  Coupling ratio 
 159    4    1.00000E+00   0.00000E+00  Coupling ratio 
 160    4    1.00000E+00   0.00000E+00  Coupling ratio 
 161    4    1.00000E+00   0.00000E+00  Coupling ratio 
 162    4    1.00000E+00   0.00000E+00  Coupling ratio 
 163    4    1.00000E+00   0.00000E+00  Coupling ratio 
 164    4    1.00000E+00   0.00000E+00  Coupling ratio 
 165    4    1.00000E+00   0.00000E+00  Coupling ratio 
 166    4    1.00000E+00   0.00000E+00  Coupling ratio 
 167    4    1.00000E+00   0.00000E+00  Coupling ratio 
 168    4    1.00000E+00   0.00000E+00  Coupling ratio 
 169    4    1.00000E+00   0.00000E+00  Coupling ratio 
 170    4    1.00000E+00   0.00000E+00  Coupling ratio 
 171    4    1.00000E+00   0.00000E+00  Coupling ratio 
 172    4    1.00000E+00   0.00000E+00  Coupling ratio 
 173    4    1.00000E+00   0.00000E+00  Coupling ratio 
 174    4    1.00000E+00   0.00000E+00  Coupling ratio 
 175    4    1.00000E+00   0.00000E+00  Coupling ratio 
 176    4    1.00000E+00   0.00000E+00  Coupling ratio 
 177    4    1.00000E+00   0.00000E+00  Coupling ratio 
 178    4    1.00000E+00   0.00000E+00  Coupling ratio 
 179    4    1.00000E+00   0.00000E+00  Coupling ratio 
 180    4    1.00000E+00   0.00000E+00  Coupling ratio 
 181    4    1.00000E+00   0.00000E+00  Coupling ratio 
 182    4    1.00000E+00   0.00000E+00  Coupling ratio 
 183    4    1.00000E+00   0.00000E+00  Coupling ratio 
 184    4    1.00000E+00   0.00000E+00  Coupling ratio 
 185    4    1.00000E+00   0.00000E+00  Coupling ratio 
 186    4    1.00000E+00   0.00000E+00  Coupling ratio 
 187    4    1.00000E+00   0.00000E+00  Coupling ratio 
 188    4    1.00000E+00   0.00000E+00  Coupling ratio 
 189    4    1.00000E+00   0.00000E+00  Coupling ratio 
 190    4    1.00000E+00   0.00000E+00  Coupling ratio 
 191    4    1.00000E+00   0.00000E+00  Coupling ratio 
 192    4    1.00000E+00   0.00000E+00  Coupling ratio 
 193    4    1.00000E+00   0.00000E+00  Coupling ratio 
 194    4    1.00000E+00   0.00000E+00  Coupling ratio 
 195    4    1.00000E+00   0.00000E+00  Coupling ratio 
 196    4    1.00000E+00   0.00000E+00  Coupling ratio 
 197    4    1.00000E+00   0.00000E+00  Coupling ratio 
 198    4    1.00000E+00   0.00000E+00  Coupling ratio 
 199    4    1.00000E+00   0.00000E+00  Coupling ratio 
 200    4    1.00000E+00   0.00000E+00  Coupling ratio 
 201    4    1.00000E+00   0.00000E+00  Coupling ratio 
 202    4    1.00000E+00   0.00000E+00  Coupling ratio 
 203    4    1.00000E+00   0.00000E+00  Coupling ratio 
 204    4    1.00000E+00   0.00000E+00  Coupling ratio 
